"ORDEN","P2_C","P3_C","P4_C","P5_C","P6_C","P7_C","P8_C","P9_C","P10_C","F_EXP"
"00659","02","01","01","11001","01","3",NA,"4",0,19.2813036198853
"00666","01","01","01","76001","01","3",NA,"3",40000,6.59201800099751
"00666","02","02","03","11001","01","1","10","3",40000,6.59201800099751
"00667","01","04","01","01001","02","2",NA,"1",0,6.63830110939223
"00668","01","04","01","25269","01","2",NA,"2",0,3.38316800051734
"00676","01","02","01","25175","01","3",NA,"1",0,6.09332622681948
"00683","01","01","01","25269","01","3",NA,"1",0,10.1472980334385
"00683","02","01","01","25473","01","3",NA,"2",40000,10.1472980334385
"00695","01","04","01","25269","01","2",NA,"1",0,3.14495317126444
"00698","01","01","01","11001","02","3",NA,"1",0,6.73598524084717
"00700","01","04","01","11001","01","2",NA,"1",0,6.41594141813535
"00703","01","01","01","66001","01","3",NA,"2",0,12.0084192865114
"00709","01","02","03","25473","01","3",NA,"1",0,1.74928400121464
"00715","01","04","01","01001","03","2",NA,"1",0,4.64371220058589
"00718","01","01","01","25899","01","3",NA,"2",0,5.83827008114493
"00722","01","02","01","25377","01","3",NA,"1",0,17.9370698220879
"00724","01","01","01","63001","01","3",NA,"1",0,3.94167870483988
"00734","01","02","01","11001","01","3",NA,"1",0,3.92904117959342
"00736","01","01","01","11001","04","3",NA,"1",0,7.71547532945034
"00738","01","01","01","11001","50","3",NA,"1",0,3.92904117959342
"00739","01","02","02","05001","01","3",NA,"1",0,8.66679097438435
"00740","01","01","01","25214","02","3",NA,"1",0,27.3487747071831
"00740","02","01","01","25214","03","3",NA,"1",0,27.3487747071831
"00741","01","01","01","11001","01","3",NA,"2",60000,35.54617337921
"00743","01","01","01","11001","01","3",NA,"1",0,8.9706385954678
"00754","01","01","01","25214","01","3",NA,"1",0,3.92904117959342
"00756","01","02","01","11001","01","3",NA,"2",1e+05,14.9600378164835
"00759","01","02","02","25899","01","3",NA,"2",50000,3.78977190260192
"00765","01","01","01","11001","01","3",NA,"1",0,19.0144223367548
"00766","01","01","01","11001","01","3",NA,"1",0,12.2954734777037
"00767","01","01","01","11001","01","3",NA,"1",0,7.92967040583734
"00769","01","01","01","25214","01","3",NA,"1",0,7.30821148567295
"00770","01","04","01","25899","01","2",NA,"1",0,26.4966973042012
"00782","01","01","01","11001","01","3",NA,"1",0,4.10122300099163
"00783","01","01","01","11001","01","3",NA,"1",0,7.33931310235317
"00783","02","01","01","11001","02","3",NA,"1",0,7.33931310235317
"00783","03","01","01","11001","02","3",NA,"1",0,7.33931310235317
"00785","01","02","01","25175","01","3",NA,"1",0,4.10643539406463
"00799","01","01","01","11001","02","3",NA,"1",0,12.1141496609416
"00804","01","01","01","11001","01","3",NA,"2",70000,21.0103131212386
"00808","01","01","01","17001","03","3",NA,"1",0,11.9498168263632
"00813","01","01","01","11001","01","3",NA,"1",0,17.4480648883442
"00814","01","02","01","11001","02","3",NA,"1",0,5.97091209256084
"00815","01","05","01","25214","50","3",NA,"2",0,27.3487747509773
"00820","01","01","01","11001","01","3",NA,"1",0,300.925678173783
"00821","01","01","01","11001","02","3",NA,"1",0,7.42152696751138
"00821","02","02","03","25214","03","1","04","1",0,7.42152696751138
"00824","01","01","01","11001","50","1","02","4",0,5.9581333496751
"00824","02","02","01","25175","50","1","02","4",0,5.9581333496751
"00826","01","02","01","11001","01","3",NA,"2",45000,5.97091209256084
"00827","01","01","01","11001","03","3",NA,"1",0,14.8962763399512
"00827","02","02","01","11001","01","3",NA,"1",0,14.8962763399512
"00831","01","02","01","11001","01","3",NA,"1",0,4.96023439489953
"00831","02","04","01","50001","03","2",NA,"1",0,4.96023439489953
"00831","03","03","03","15176","01","1","77","3",90000,4.96023439489953
"00839","01","02","01","25473","53","3",NA,"1",0,75.3218706924137
"00841","01","01","01","54109","01","3",NA,"4",0,14.8962763399512
"00844","01","02","01","25175","01","3",NA,"1",0,10.4788462252405
"00844","02","04","01","25473","01","2",NA,"1",0,10.4788462252405
"00847","01","06","03","25754","01","3",NA,"1",0,10.4620827645007
"00851","01","04","01","25183","01","2",NA,"4",0,21.0103131212386
"00852","01","02","01","11001","01","3",NA,"1",0,21.2444112557449
"00854","01","02","01","11001","01","3",NA,"1",0,20.1871084257779
"00854","02","02","03","11001","03","3",NA,"2",60000,20.1871084257779
"00855","01","01","01","05266","01","3",NA,"1",0,7.2149039940755
"00859","01","01","01","11001","01","3",NA,"1",0,37.2456340761474
"00861","01","01","03","70001","02","3",NA,"1",0,68.0154393520024
"00861","02","04","01","01001","01","2",NA,"1",0,68.0154393520024
"00865","01","01","01","25430","01","3",NA,"1",0,21.2444112324602
"00866","01","01","01","11001","01","3",NA,"1",0,7.30821148567295
"00866","02","01","01","05001","01","3",NA,"1",0,7.30821148567295
"00866","03","02","03","11001","01","3",NA,"1",0,7.30821148567295
"00870","01","01","01","11001","01","3",NA,"1",0,12.3728721778302
"00875","01","01","01","11001","50","3",NA,"1",0,23.2406084924776
"00875","02","05","01","11001","50","3",NA,"1",0,23.2406084924776
"00875","03","06","01","25754","50","1","10","1",0,23.2406084924776
"00875","04","06","01","11001","50","3",NA,"1",0,23.2406084924776
"00876","01","02","01","76001","02","3",NA,"2",50000,7.28337324205012
"00876","02","04","01","01001","02","2",NA,"1",0,7.28337324205012
"00881","01","04","01","05266","01","2",NA,"1",0,13.1384103051502
"00882","01","01","01","11001","01","3",NA,"1",0,16.2055786639204
"00883","01","01","01","25377","01","3",NA,"2",40000,18.8625068363318
"00884","01","01","01","11001","01","3",NA,"2",30000,15.7675374520723
"00884","02","01","01","11001","04","3",NA,"2",30000,15.7675374520723
"00886","01","01","01","25175","01","3",NA,"1",0,10.8500877736589
"00887","01","02","01","25377","01","1","08","2",0,39.3441473195159
"00889","01","04","01","11001","03","2",NA,"1",0,4.07277772687162
"00889","02","04","01","11001","04","2",NA,"1",0,4.07277772687162
"00892","01","06","01","25899","01","3",NA,"3",120000,23.6387136526988
"00897","01","01","01","25473","03","3",NA,"2",40000,6.3088065852507
"00901","01","01","01","11001","02","3",NA,"1",0,19.4128315653697
"00903","01","01","01","11001","01","3",NA,"1",0,318.877641595816
"00906","01","04","01","25175","01","2",NA,"1",0,6.28545801460365
"00911","01","01","01","11001","01","3",NA,"1",0,39.3042202186318
"00912","01","01","01","11001","01","3",NA,"1",0,21.3181077326231
"00913","01","02","01","25754","01","3",NA,"2",30000,6.15305113143563
"00916","01","01","01","11001","03","3",NA,"1",0,17.802105269113
"00920","01","01","01","11001","01","3",NA,"1",0,4.27162096707469
"00923","01","01","01","11001","01","3",NA,"1",0,13.8611508009504
"00923","02","01","01","11001","02","3",NA,"4",0,13.8611508009504
"00928","01","03","02","25899","01","3",NA,"1",0,5.00627611602459
"00932","01","04","01","25175","01","2",NA,"1",0,3.58970760607088
"00933","01","01","01","05001","01","3",NA,"2",0,8.95751249328593
"00938","01","01","01","11001","01","3",NA,"1",0,53.9459459802681
"00950","01","02","01","25758","01","3",NA,"2",0,53.9814556232939
"00955","01","02","02","15238","01","1","77","4",0,12.2017071034023
"00958","01","04","01","25899","01","2",NA,"1",0,17.4205753085582
"00958","02","04","01","25899","03","2",NA,"1",0,17.4205753085582
"00961","01","01","01","11001","03","3",NA,"4",0,33.2783261427016
"00962","01","01","01","25175","01","3",NA,"1",0,16.6525786144576
"00964","01","01","01","11001","02","3",NA,"1",0,17.6446097969167
"00966","01","01","01","11001","02","3",NA,"2",50000,65.3891679976354
"00966","02","04","01","11001","01","2",NA,"2",50000,65.3891679976354
"00967","01","01","01","25377","01","3",NA,"2",0,9.95598614202402
"00968","01","02","01","25214","01","1","10","1",0,53.7970880532901
"00972","01","01","01","25377","01","3",NA,"4",0,23.9973701469376
"00973","01","01","01","25377","01","3",NA,"1",0,12.2358640399574
"00979","01","04","01","25758","01","2",NA,"1",0,309.36534020084
"00995","01","04","01","01001","01","2",NA,"1",0,470.371311148321
"01000","01","04","01","01001","01","2",NA,"1",0,86.7901611176168
"01001","01","05","03","11001","53","3",NA,"2",60000,56.6666666666667
"01002","01","04","01","25175","01","2",NA,"1",0,35.27017703273
"01005","01","01","01","11001","01","3",NA,"1",0,53.1855889988907
"01007","01","04","01","11001","01","2",NA,"1",0,73.514186670726
"01010","01","01","01","25269","01","3",NA,"1",0,30.4331819404554
"01014","01","02","01","11001","01","3",NA,"1",0,64.4946258191383
"01015","01","01","01","25473","01","3",NA,"1",0,91.4218155304056
"01027","01","01","01","25377","01","3",NA,"2",40000,118.443621040921
"01029","01","01","01","25307","01","3",NA,"1",0,120.630403839128
"01030","01","01","01","25899","02","3",NA,"1",0,5.44486261253916
"01040","01","01","01","25175","01","3",NA,"1",0,10.9498284509526
"01042","01","04","01","11001","01","2",NA,"1",0,20.852972979188
"01045","01","04","01","01001","02","2",NA,"1",0,5.89957297117294
"01046","01","01","01","11001","03","3",NA,"1",0,12.4199548396013
"01046","02","02","03","68001","01","3",NA,"4",0,12.4199548396013
"01046","03","02","01","54001","01","1","10","4",0,12.4199548396013
"01048","01","01","01","25175","01","3",NA,"1",0,32.7009064088445
"01048","02","01","01","11001","02","3",NA,"1",0,32.7009064088445
"01049","01","01","01","25175","02","3",NA,"1",0,753.332013007453
"01050","01","02","01","25175","01","3",NA,"1",0,32.7009064192099
"01051","01","04","01","25899","02","2",NA,"1",0,270.343628196338
"01053","01","01","01","11001","01","3",NA,"1",0,88.3717849000847
"01053","02","01","01","25175","02","3",NA,"1",0,88.3717849000847
"01054","01","02","01","11001","53","1","10","1",0,32.7009064192099
"01058","01","01","01","25175","01","3",NA,"2",0,71.266389880426
"01061","01","02","01","25175","02","1","04","3",90000,10.7797285158358
"01065","01","01","01","11001","01","3",NA,"1",0,19.5680572236305
"01067","01","01","01","25754","01","3",NA,"1",0,5.33151930686048
"01068","01","01","01","25754","01","3",NA,"2",50000,85.4338684997931
"01072","01","02","01","17873","01","3",NA,"1",0,85.2998506375801
"01072","02","04","01","01001","51","2",NA,"1",0,85.2998506375801
"01073","01","01","01","25754","01","3",NA,"1",0,65.488786034071
"01082","01","04","01","25214","01","2",NA,"1",0,5.35982661084005
"01083","01","01","01","25473","02","3",NA,"1",0,371.653239878502
"01083","02","02","01","25899","01","3",NA,"1",0,371.653239878502
"01084","01","04","01","25307","01","2",NA,"1",0,48.2917930425611
"01085","01","01","01","11001","01","3",NA,"1",0,113.571867934319
"01086","01","04","01","11001","01","2",NA,"1",0,59.4842205780489
